,companyAlias,employee,numVotes,stillExists,lastParticipationDate,vote.mean,vote.mode,vote.min,vote.max,diffDaysVote.min,diffDaysVote.max,diffDaysVote.median,likes.mean,likes.min,likes.max,dislikes.mean,dislikes.min,dislikes.max,carac.mean,carac.min,carac.max,diffDaysComment.min,diffDaysComment.max,diffDaysComment.median,commentId.count
25,5370af43e4b0cff95558c12a,37,62,0,2016-12-13 01:00:00,3.774193548387097,4,2,4,0,294,201.0,4.666666666666667,1.0,11.0,0.2222222222222222,0.0,1.0,27.555555555555557,7.0,50.0,24.0,293.0,214.5,18.0
27,5370af43e4b0cff95558c12a,39,96,1,2017-03-17 01:00:00,2.96875,3,1,4,0,389,168.0,3.5384615384615383,0.0,12.0,1.3461538461538463,0.0,8.0,34.65384615384615,6.0,116.0,30.0,388.0,352.0,26.0
28,5370af43e4b0cff95558c12a,40,17,1,2017-03-11 01:00:00,2.4705882352941178,3,1,3,0,359,78.0,2.0,1.0,3.0,1.3333333333333333,0.0,2.0,40.0,20.0,73.0,44.0,346.0,78.0,3.0
29,5370af43e4b0cff95558c12a,41,105,0,2016-09-01 02:00:00,3.5047619047619047,4,1,4,0,192,130.0,5.193548387096774,1.0,13.0,0.6451612903225806,0.0,4.0,52.903225806451616,6.0,223.0,69.0,190.0,160.0,31.0
30,5370af43e4b0cff95558c12a,42,21,1,2017-02-28 01:00:00,2.380952380952381,1,1,4,0,363,283.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,210.0,347.0,347.0,1.0
31,5370af43e4b0cff95558c12a,43,21,1,2017-02-09 01:00:00,3.1904761904761907,3,2,4,0,352,295.0,3.4444444444444446,1.0,9.0,0.7777777777777778,0.0,3.0,51.888888888888886,11.0,122.0,16.0,337.0,288.0,9.0
32,5370af43e4b0cff95558c12a,44,64,0,2016-09-16 02:00:00,1.765625,1,1,4,0,206,132.5,2.388888888888889,0.0,6.0,1.8333333333333333,0.0,6.0,19.666666666666668,0.0,171.0,1.0,203.0,120.5,18.0
33,5370af43e4b0cff95558c12a,45,11,1,2016-05-06 02:00:00,3.1818181818181817,3,3,4,0,65,46.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
34,5370af43e4b0cff95558c12a,47,51,0,2016-05-10 08:13:17,2.0784313725490198,3,1,3,0,78,34.0,4.2,0.0,14.0,0.7,0.0,1.0,283.0,2.0,1770.0,0.0,55.0,18.0,10.0
35,5370af43e4b0cff95558c12a,48,43,1,2017-02-06 01:00:00,3.2790697674418605,4,1,4,0,348,233.0,3.9285714285714284,0.0,12.0,0.5714285714285714,0.0,4.0,47.57142857142857,9.0,129.0,12.0,346.0,258.5,28.0
36,5370af43e4b0cff95558c12a,51,202,1,2016-12-21 01:00:00,3.118811881188119,3,1,4,0,299,187.5,0.25,0.0,1.0,1.25,0.0,4.0,0.75,0.0,1.0,26.0,255.0,208.0,8.0
37,5370af43e4b0cff95558c12a,52,73,1,2017-03-20 01:00:00,3.958904109589041,4,3,4,0,392,271.0,6.5,2.0,17.0,0.2222222222222222,0.0,1.0,93.77777777777777,23.0,323.0,20.0,389.0,275.5,18.0
38,5370af43e4b0cff95558c12a,53,73,1,2017-03-15 16:54:39,3.4383561643835616,4,1,4,0,386,271.0,3.0425531914893615,0.0,11.0,0.7659574468085106,0.0,8.0,28.148936170212767,0.0,160.0,0.0,385.0,283.0,47.0
39,5370af43e4b0cff95558c12a,54,17,0,2017-03-03 16:57:19,3.2941176470588234,4,1,4,0,374,59.0,5.5,2.0,10.0,0.25,0.0,2.0,49.25,10.0,128.0,0.0,372.0,30.0,12.0
40,5370af43e4b0cff95558c12a,55,257,0,2016-11-29 01:00:00,1.9416342412451362,1,1,4,0,281,150.0,3.5824175824175826,0.0,11.0,1.2527472527472527,0.0,7.0,115.54945054945055,0.0,1770.0,4.0,279.0,216.0,59.0
41,5370af43e4b0cff95558c12a,56,47,1,2017-03-06 01:00:00,3.7872340425531914,4,1,4,0,377,263.0,3.125,0.0,8.0,1.0625,0.0,4.0,44.75,10.0,308.0,93.0,375.0,281.5,16.0
42,5370af43e4b0cff95558c12a,57,86,1,2017-03-08 01:00:00,3.046511627906977,3,1,4,0,365,311.5,2.4,0.0,4.0,1.0,0.0,2.0,20.6,0.0,44.0,117.0,357.0,328.0,5.0
43,5370af43e4b0cff95558c12a,58,28,0,2016-08-14 02:00:00,2.5714285714285716,3,1,4,0,152,105.5,6.25,1.0,12.0,0.75,0.0,3.0,63.0,17.0,135.0,87.0,149.0,136.5,4.0
44,5370af43e4b0cff95558c12a,59,3,1,2017-01-02 15:05:12,3.0,3,3,3,0,257,20.0,2.5,2.0,3.0,0.0,0.0,0.0,21.0,15.0,27.0,0.0,19.0,9.5,2.0
45,5370af43e4b0cff95558c12a,60,29,1,2017-02-22 01:00:00,3.0689655172413794,3,2,4,0,312,210.0,4.6,1.0,11.0,0.2,0.0,1.0,34.2,11.0,58.0,60.0,312.0,64.0,5.0
46,5370af43e4b0cff95558c12a,62,175,1,2017-03-17 01:00:00,3.0228571428571427,3,1,4,0,316,163.0,3.3333333333333335,1.0,7.0,0.3333333333333333,0.0,1.0,33.666666666666664,1.0,65.0,77.0,316.0,308.0,3.0
47,5370af43e4b0cff95558c12a,63,52,0,2016-11-30 01:00:00,3.076923076923077,3,1,4,0,208,126.5,6.1,1.0,10.0,0.2,0.0,1.0,45.8,21.0,77.0,0.0,201.0,115.5,10.0
48,5370af43e4b0cff95558c12a,64,53,0,2016-11-30 01:00:00,3.6226415094339623,4,2,4,0,168,54.0,1.7,0.0,9.0,0.1,0.0,1.0,39.25,4.0,87.0,0.0,168.0,49.0,20.0
49,5370af43e4b0cff95558c12a,65,2,0,2016-09-27 02:00:00,3.0,3,3,3,0,14,7.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
50,5370af43e4b0cff95558c12a,66,40,0,2017-01-19 01:00:00,3.125,4,1,4,0,128,90.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
51,5370af43e4b0cff95558c12a,67,8,0,2016-11-10 01:00:00,3.125,3,3,4,0,58,28.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
52,5370af43e4b0cff95558c12a,68,43,0,2017-01-18 01:00:00,3.6511627906976742,4,2,4,0,127,83.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
53,5370af43e4b0cff95558c12a,69,12,0,2017-01-18 01:00:00,2.75,4,1,4,0,127,118.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
54,5370af43e4b0cff95558c12a,70,13,0,2017-01-19 01:00:00,3.3846153846153846,4,2,4,0,128,106.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
55,5370af43e4b0cff95558c12a,71,34,0,2017-01-16 01:00:00,3.0294117647058822,3,2,4,0,123,81.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
56,5370af43e4b0cff95558c12a,72,57,0,2016-12-22 01:00:00,3.8947368421052633,4,2,4,0,93,44.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
57,5370af43e4b0cff95558c12a,73,7,0,2016-10-31 01:00:00,3.142857142857143,3,2,4,0,47,20.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
58,5370af43e4b0cff95558c12a,74,15,0,2016-10-09 02:00:00,2.7333333333333334,3,1,4,0,20,12.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
59,5370af43e4b0cff95558c12a,75,107,0,2017-01-23 01:00:00,3.663551401869159,4,1,4,0,132,59.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
60,5370af43e4b0cff95558c12a,76,64,0,2017-01-09 01:00:00,3.953125,4,2,4,0,118,75.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
61,5370af43e4b0cff95558c12a,77,6,0,2016-12-08 01:00:00,3.1666666666666665,3,2,4,0,86,29.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
62,5370af43e4b0cff95558c12a,78,29,0,2016-12-27 01:00:00,3.206896551724138,3,1,4,0,105,82.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
63,5370af43e4b0cff95558c12a,79,7,0,2016-10-26 02:00:00,2.7142857142857144,2,2,4,0,43,40.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
64,5370af43e4b0cff95558c12a,80,39,0,2017-01-16 01:00:00,3.5128205128205128,4,1,4,0,125,87.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
65,5370af43e4b0cff95558c12a,83,27,0,2017-01-09 01:00:00,3.1481481481481484,4,1,4,0,118,86.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
66,5370af43e4b0cff95558c12a,84,2,0,2016-09-16 02:00:00,3.0,3,3,3,0,4,2.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
67,5370af43e4b0cff95558c12a,85,39,0,2017-01-19 01:00:00,2.58974358974359,3,1,4,0,128,93.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
68,5370af43e4b0cff95558c12a,86,21,0,2017-01-12 01:00:00,3.857142857142857,4,3,4,0,121,79.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
69,5370af43e4b0cff95558c12a,87,74,0,2017-01-23 01:00:00,3.027027027027027,3,1,4,0,132,76.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
70,5370af43e4b0cff95558c12a,88,77,0,2017-01-23 01:00:00,3.0779220779220777,3,2,4,0,131,47.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
71,5370af43e4b0cff95558c12a,89,11,0,2016-11-24 01:00:00,3.0,3,2,4,0,72,56.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
72,5370af43e4b0cff95558c12a,90,25,0,2017-01-13 01:00:00,2.72,3,1,4,0,97,59.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
73,5370af43e4b0cff95558c12a,91,62,0,2017-01-23 01:00:00,2.9838709677419355,3,2,4,0,107,57.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
74,5370af43e4b0cff95558c12a,92,7,0,2016-11-14 01:00:00,3.4285714285714284,3,3,4,0,37,25.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
75,5370af43e4b0cff95558c12a,93,36,0,2017-01-23 01:00:00,3.2777777777777777,3,2,4,0,107,50.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
76,5370af43e4b0cff95558c12a,94,29,0,2017-01-20 01:00:00,2.5517241379310347,3,1,3,0,104,79.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
77,5370af43e4b0cff95558c12a,95,40,0,2017-01-23 01:00:00,2.675,3,1,4,0,107,68.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
78,5370af43e4b0cff95558c12a,96,3,0,2016-10-14 02:00:00,2.6666666666666665,3,2,3,0,2,1.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
79,5370af43e4b0cff95558c12a,97,8,0,2016-12-05 01:00:00,2.625,3,1,4,0,58,46.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
80,5370af43e4b0cff95558c12a,98,13,0,2016-11-22 01:00:00,2.1538461538461537,3,1,3,0,45,26.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
81,5370af43e4b0cff95558c12a,99,27,0,2017-01-20 01:00:00,2.962962962962963,3,1,4,0,100,72.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
82,5370af43e4b0cff95558c12a,101,8,0,2016-12-23 01:00:00,2.75,3,2,3,0,70,48.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
83,5370af43e4b0cff95558c12a,102,2,0,2016-10-11 02:00:00,1.5,1,1,2,0,4,2.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
84,5370af43e4b0cff95558c12a,103,61,0,2017-01-20 01:00:00,2.5737704918032787,3,1,4,0,104,60.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
85,5370af43e4b0cff95558c12a,104,9,0,2016-12-22 01:00:00,3.0,3,3,3,0,75,55.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
86,5370af43e4b0cff95558c12a,105,1,0,2016-10-21 02:00:00,3.0,3,3,3,0,0,0.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
87,5370af43e4b0cff95558c12a,106,2,0,2016-10-12 02:00:00,3.0,3,3,3,0,5,2.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
88,5370af43e4b0cff95558c12a,107,29,0,2017-01-23 01:00:00,1.2758620689655173,1,1,3,0,95,20.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
89,5370af43e4b0cff95558c12a,108,10,0,2016-10-21 02:00:00,2.5,1,1,4,0,14,5.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
90,5370af43e4b0cff95558c12a,109,1,0,2016-10-19 02:00:00,3.0,3,3,3,0,0,0.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
91,5370af43e4b0cff95558c12a,110,6,0,2017-01-18 01:00:00,2.0,1,1,3,0,102,61.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
92,5370af43e4b0cff95558c12a,111,30,0,2017-01-13 01:00:00,3.1333333333333333,3,1,4,0,91,71.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
93,5370af43e4b0cff95558c12a,112,7,0,2017-01-17 01:00:00,3.0,3,3,3,0,101,71.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
94,5370af43e4b0cff95558c12a,113,6,0,2016-12-23 01:00:00,2.1666666666666665,2,1,3,0,76,53.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
95,5370af43e4b0cff95558c12a,114,1,0,2016-10-21 02:00:00,3.0,3,3,3,0,0,0.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
96,5370af43e4b0cff95558c12a,115,9,0,2016-11-18 01:00:00,3.4444444444444446,4,1,4,0,41,34.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
97,5370af43e4b0cff95558c12a,116,9,0,2017-01-18 01:00:00,3.2222222222222223,3,2,4,0,102,77.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
98,5370af43e4b0cff95558c12a,117,22,0,2017-01-23 01:00:00,2.090909090909091,1,1,4,0,107,84.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
99,5370af43e4b0cff95558c12a,118,30,0,2017-01-20 01:00:00,1.5,1,1,3,0,104,50.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
100,5370af43e4b0cff95558c12a,119,1,0,2016-10-11 02:00:00,3.0,3,3,3,0,0,0.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
101,5370af43e4b0cff95558c12a,120,10,0,2017-01-18 01:00:00,2.5,3,1,3,0,102,81.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
102,5370af43e4b0cff95558c12a,121,3,0,2016-11-22 01:00:00,2.6666666666666665,1,1,4,0,45,37.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
103,5370af43e4b0cff95558c12a,122,38,0,2017-01-23 01:00:00,3.0526315789473686,3,1,4,0,105,68.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
104,5370af43e4b0cff95558c12a,123,9,0,2016-11-02 01:00:00,2.888888888888889,3,2,4,0,25,12.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
105,5370af43e4b0cff95558c12a,124,14,0,2017-01-20 01:00:00,4.0,4,4,4,0,104,57.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
106,5370af43e4b0cff95558c12a,126,7,0,2016-10-25 02:00:00,3.142857142857143,3,2,4,0,18,12.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
107,5370af43e4b0cff95558c12a,128,15,0,2016-12-27 01:00:00,2.7333333333333334,3,1,4,0,80,52.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
